link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,price_per_sqm
https://www.immoweb.be/en/classified/house/for-sale/turnhout/2300/20382618,20382618,Turnhout,2300,295000,HOUSE,HOUSE,145.0,0.0,0,0.0,0.0,2.0,0,288.0,INSTALLED,TO_BE_DONE_UP,FOR_SALE,2034.4827586206898
https://www.immoweb.be/en/classified/house/for-sale/comblain-au-pont/4171/20119205,20119205,Comblain-au-Pont,4171,150000,HOUSE,HOUSE,104.0,0.0,0,15.0,15.0,4.0,0,193.0,INSTALLED,TO_BE_DONE_UP,FOR_SALE,1442.3076923076924
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20375389,20375389,Bruxelles,1000,229000,APARTMENT,APARTMENT,38.0,0.0,0,0.0,0.0,0.0,0,0.0,UNKNOWN,AS_NEW,FOR_SALE,6026.315789473684
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20384589,20384589,Oostende,8400,289000,APARTMENT,APARTMENT,90.0,0.0,0,8.0,0.0,0.0,0,0.0,UNKNOWN,UNKNOWN,FOR_SALE,3211.1111111111113
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20376672,20376672,DEINZE,9800,210000,APARTMENT,APARTMENT,98.0,0.0,0,0.0,0.0,2.0,0,0.0,INSTALLED,GOOD,FOR_SALE,2142.8571428571427
https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/20356982,20356982,Maldegem,9990,577751,HOUSE,HOUSE,175.0,0.0,0,0.0,0.0,0.0,0,545.0,HYPER_EQUIPPED,GOOD,FOR_SALE,3301.4342857142856
https://www.immoweb.be/en/classified/apartment/for-sale/fl%C3%A9ron/4620/20294954,20294954,Fléron,4620,199000,APARTMENT,APARTMENT,100.0,0.0,0,25.0,21.0,3.0,0,0.0,SEMI_EQUIPPED,GOOD,FOR_SALE,1990.0
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20118961,20118961,GENT,9000,315000,APARTMENT,APARTMENT,98.0,0.0,0,15.0,0.0,2.0,0,0.0,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE,3214.285714285714
https://www.immoweb.be/en/classified/house/for-sale/grimbergen/1850/20261802,20261802,Grimbergen,1850,607495,HOUSE,HOUSE,208.0,0.0,0,0.0,0.0,0.0,0,314.0,HYPER_EQUIPPED,GOOD,FOR_SALE,2920.6490384615386
https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20382252,20382252,Kortrijk,8500,375000,HOUSE,HOUSE,217.0,0.0,0,0.0,0.0,3.0,0,623.0,INSTALLED,GOOD,FOR_SALE,1728.110599078341
https://www.immoweb.be/en/classified/house/for-sale/pironchamps/6240/20384855,20384855,PIRONCHAMPS,6240,295000,HOUSE,HOUSE,250.0,0.0,0,60.0,0.0,0.0,0,727.0,SEMI_EQUIPPED,GOOD,FOR_SALE,1180.0
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20316952,20316952,Oosterzele,9860,199000,HOUSE,HOUSE,204.0,0.0,0,0.0,0.0,3.0,0,553.0,UNKNOWN,TO_BE_DONE_UP,FOR_SALE,975.4901960784314
https://www.immoweb.be/en/classified/house/for-sale/lommel/3920/20360773,20360773,Lommel,3920,569000,HOUSE,HOUSE,259.0,0.0,0,0.0,0.0,4.0,0,601.0,HYPER_EQUIPPED,AS_NEW,FOR_SALE,2196.911196911197
https://www.immoweb.be/en/classified/house/for-sale/zwijndrecht/2070/20361458,20361458,Zwijndrecht,2070,349000,HOUSE,HOUSE,160.0,0.0,0,0.0,0.0,0.0,0,301.0,UNKNOWN,TO_RENOVATE,FOR_SALE,2181.25
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20378140,20378140,Roeselare,8800,245000,APARTMENT,APARTMENT,105.0,0.0,0,0.0,0.0,2.0,0,0.0,INSTALLED,GOOD,FOR_SALE,2333.3333333333335
https://www.immoweb.be/en/classified/house/for-sale/anderlues/6150/20374754,20374754,Anderlues,6150,340000,HOUSE,HOUSE,230.0,0.0,0,22.0,300.0,3.0,0,400.0,USA_HYPER_EQUIPPED,AS_NEW,FOR_SALE,1478.2608695652175
https://www.immoweb.be/en/classified/house/for-sale/neufchateau/6840/20297962,20297962,Neufchâteau,6840,289500,HOUSE,HOUSE,110.0,0.0,0,0.0,0.0,4.0,0,660.0,INSTALLED,GOOD,FOR_SALE,2631.818181818182
https://www.immoweb.be/en/classified/apartment/for-sale/bertrix/6880/20365528,20365528,Bertrix,6880,209900,APARTMENT,APARTMENT,86.0,0.0,0,0.0,0.0,0.0,0,0.0,SEMI_EQUIPPED,AS_NEW,FOR_SALE,2440.6976744186045
https://www.immoweb.be/en/classified/house/for-sale/lier/2500/20370795,20370795,Lier,2500,355000,HOUSE,HOUSE,150.0,0.0,0,0.0,0.0,3.0,0,403.0,UNKNOWN,UNKNOWN,FOR_SALE,2366.6666666666665
https://www.immoweb.be/en/classified/house/for-sale/lendelede/8860/20388844,20388844,Lendelede,8860,139000,HOUSE,HOUSE,150.0,0.0,0,0.0,0.0,2.0,0,193.0,UNKNOWN,TO_RENOVATE,FOR_SALE,926.6666666666666
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20378643,20378643,Uccle,1180,489000,APARTMENT,APARTMENT,141.0,0.0,0,4.0,0.0,2.0,0,0.0,HYPER_EQUIPPED,GOOD,FOR_SALE,3468.0851063829787
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20383385,20383385,TESSENDERLO,3980,269500,HOUSE,HOUSE,150.0,0.0,0,0.0,0.0,3.0,0,690.0,INSTALLED,GOOD,FOR_SALE,1796.6666666666667
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20368167,20368167,Antwerpen,2060,199000,APARTMENT,APARTMENT,58.0,1.0,0,0.0,0.0,0.0,0,0.0,UNKNOWN,JUST_RENOVATED,FOR_SALE,3431.0344827586205
https://www.immoweb.be/en/classified/apartment/for-sale/beerzel/2580/20384039,20384039,Beerzel,2580,267500,APARTMENT,APARTMENT,78.0,0.0,0,0.0,0.0,0.0,0,0.0,HYPER_EQUIPPED,UNKNOWN,FOR_SALE,3429.4871794871797
https://www.immoweb.be/en/classified/apartment/for-sale/sleidinge/9940/20377728,20377728,Sleidinge,9940,295000,APARTMENT,APARTMENT,75.0,0.0,0,17.0,0.0,2.0,0,0.0,HYPER_EQUIPPED,AS_NEW,FOR_SALE,3933.3333333333335
https://www.immoweb.be/en/classified/house/for-sale/sart-lez-spa/4845/20379469,20379469,Sart-lez-Spa,4845,220000,HOUSE,HOUSE,200.0,0.0,0,0.0,0.0,3.0,0,443.0,UNKNOWN,GOOD,FOR_SALE,1100.0
